#Table 1
#Sample Properties
#Redshift	sigma	R_e		log10(Ie,g)	log10(M*)	(g-z)rest D_n4000	
#()      (km s^-1)	(kpc)(pc^-2)	()			
0.248	207	3.73	2.92	11.33	1.42	1.82	
0.619	187	5.08	2.94	11.05	1.14	1.66	
0.349	309	3.57	3.12	11.60	1.42	1.89	
0.673	138	6.48	2.67	11.26	1.26	1.67	
0.361	254	6.49	2.25	11.30	1.65	1.85	
0.608	204	5.03	2.95	11.62	1.42	1.60	
0.345	286	10.50	2.30	11.60	1.42	1.80	
0.310	366	4.86	2.72	11.48	1.49	1.75	
0.372	242	5.27	2.69	11.25	1.49	1.80	
0.220	209	8.95	2.22	10.95	1.33	1.44	
0.354	258	7.06	2.49	11.55	1.54	1.78	
0.349	292	8.98	2.66	11.85	1.45	1.69	
0.503	156	4.12	3.15	11.62	1.34	1.62	
0.340	365	4.02	2.90	11.39	1.48	1.69	
0.323	395	9.04	2.51	11.76	1.52	1.74	
0.221	251	8.83	2.34	11.50	1.45	1.79	
0.373	193	12.28	2.18	11.61	1.46	2.11	
0.372	269	5.46	2.73	11.45	1.44	2.14	
0.213	174	5.02	2.49	11.05	1.32	1.68	
0.326	238	3.31	2.93	11.05	1.43	1.65	
0.467	309	4.97	2.88	11.55	1.48	1.88	
0.494	424	2.59	3.69	11.75	1.28	1.65	
0.473	251	6.46	2.57	11.40	1.38	1.70	
0.726	299	6.61	2.95	11.82	1.36	1.65	
0.467	304	3.58	3.03	11.35	1.34	1.68	
0.608	216	3.32	3.05	11.16	1.38	1.69	
0.515	198	3.44	3.08	11.50	1.39	1.77	
0.439	280	4.76	2.93	11.59	1.32	1.65	
0.564	250	6.73	2.62	11.35	1.36	1.66	
0.221	230	3.59	2.94	11.40	1.50	1.78	
0.425	182	4.60	2.50	11.05	1.36	1.38	
0.374	431	2.90	3.37	11.47	1.40	1.71	
0.599	334	4.02	3.17	11.60	1.33	1.56	
0.347	237	7.45	2.26	11.04	1.36	1.75	
0.350	254	3.55	2.80	11.10	1.44	1.76	
0.349	270	3.42	2.84	11.08	1.46	1.76	
0.371	257	5.72	2.66	11.40	1.40	1.62	
0.345	232	7.69	2.36	11.37	1.39	1.73	
0.480	222	6.15	2.64	11.50	1.37	1.59	
0.360	216	3.09	2.77	11.07	1.40	1.81	
0.552	288	3.66	3.09	11.03	1.10	1.46	
0.674	256	5.53	2.88	11.50	1.25	1.55	
0.480	142	4.06	2.72	10.90	1.32	1.60	
0.482	330	6.94	2.70	11.70	1.37	1.75	
0.496	289	3.77	3.24	11.39	1.30	1.74	
0.373	192	7.37	2.24	11.25	1.53	1.53	
0.550	261	7.08	2.73	11.65	1.46	1.69	
0.510	183	3.47	2.96	11.07	1.32	1.84	
0.346	238	5.72	2.51	11.35	1.47	1.74	
0.491	302	4.71	2.77	11.40	1.38	1.62	
0.407	255	3.69	2.63	11.00	1.35	1.61	
0.534	272	4.80	2.71	11.15	1.26	1.38	
0.344	265	5.66	2.52	11.26	1.48	2.00	
0.247	236	6.02	2.60	11.30	1.41	1.46	
0.218	226	4.87	2.50	11.10	1.59	1.74	
0.504	252	6.91	2.68	11.60	1.41	1.93	
0.349	281	5.17	2.60	11.50	1.67	1.75	
0.502	201	3.35	2.95	11.18	1.32	1.90	
0.674	304	3.11	3.36	11.60	1.32	1.74	
0.330	219	2.94	2.95	11.06	1.47	1.80	
0.348	268	4.14	2.84	11.44	1.43	1.81	
0.217	220	4.89	2.40	11.13	1.62	1.77	
0.534	264	3.95	2.93	11.25	1.26	2.00	
0.372	233	5.38	2.71	11.20	1.40	2.05	
0.521	286	3.70	2.93	11.40	1.39	1.72	
